scrip,name,ltp,score,band,rsi,stretch_pct,entry,sup,res,bollinger,macd,macd_crossover_risk,health_trend,flow_pressure,data_confidence,navps,witnesses,depth,stack_bucket,stack_win_pct,stack_net_pct,stack_median_pct,stack_n,market_regime,regime_mean_pct,signals,signal_status,net_exp_pct,profit_factor,z,hit_pct,p_up_raw,p_up_cal,base_rate_up,signal_brier,signal_n,tk_hit_pct,tk_net_pct,tk_n,best_sig,best_sig_hit,best_sig_net,best_sig_n,vol_ann_pct,max_dd_5y_pct,var95_daily_pct,beta,crashP_pct,cat,liquidity,updated,history_last_bar
BXPHARMA,Beximco Pharmaceuticals PLC.,153.7,78,Fair,74,20.0,EXTENDED,123.0,158.5,inside bands (+0.8σ),bullish,watch-bearish,improving,neutral,high,107.48,0,0,none,,,,,bull,-0.58,52w-high breakout|Morning Star,WORKS,1.28,1.42,4.8,46.6,0.597,0.475,0.436,0.2367,1189,65.6,3.51,93,52w-high breakout,65.6,3.51,93,29.7,-74.1,-2.93,0.86,12.4,A,unavailable,2026-07-09,2026-07-10
CAPITECGBF,Capitec Grameen Bank Growth Fund,7.8,36,Weak,60,7.9,fair,7.0,8.1,inside bands (+1.8σ),bullish,none,stable,accumulation,high,9.61,0,0,none,,,,,bull,-0.58,Bullish Harami,NO-EDGE,-0.17,1.11,-0.1,44.9,0.449,0.417,0.436,0.2424,6375,,,,Stochastic<20,47.3,-0.48,112,52.0,-75.8,-4.11,0.91,4.6,A,0.1,2026-07-09,2026-07-10
CAPMBDBLMF,CAPM BDBL Mutual Fund 01,10.1,8,High risk,56,-8.4,IN-ZONE,9.6,10.9,inside bands (-0.1σ),bullish,none,deteriorating,distribution,high,7.66,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,RSI<30 oversold,77.8,5.87,45,41.7,-62.1,-3.7,,2.4,A,0.1,2026-07-09,2026-07-10
CAPMIBBLMF,CAPM IBBL Islamic Mutual Fund,14.0,0,High risk,88,45.5,EXTENDED,13.0,14.1,above upper band,bullish,none,deteriorating,accumulation,high,7.96,0,0,none,,,,,bull,-0.58,52w-high breakout,WORKS,1.28,1.42,4.8,46.6,0.466,0.417,0.436,0.2367,1189,,,,Double Bottom,50.0,5.26,36,46.7,-77.6,-3.96,0.88,38.6,A,0.2,2026-07-09,2026-07-10
CENTRALINS,Central Insurance PLC.,43.6,36,Weak,48,5.0,IN-ZONE,42.1,43.8,inside bands (+0.0σ),bearish,watch-bullish,deteriorating,accumulation,high,50.69,0,0,none,,,,,bull,-0.58,MACD bull cross|Bullish Engulfing,NO-EDGE,0.07,1.18,-0.0,44.8,0.443,0.417,0.436,0.2436,2558,42.2,-0.34,90,Stretch<-30% vs MA200,58.8,14.02,34,42.2,-64.5,-3.74,1.0,3.9,A,unavailable,2026-07-09,2026-07-10
CENTRALPHL,Central Pharmaceuticals Limited,11.1,0,High risk,71,22.1,EXTENDED,10.7,11.3,inside bands (+1.7σ),bullish,none,stable,accumulation,high,6.87,0,0,none,,,,,bull,-0.58,Morning Star,NO-EDGE,-0.3,1.06,-5.0,43.4,0.453,0.417,0.436,0.2393,2362,45.3,0.73,64,Stretch<-30% vs MA200,62.3,3.64,146,53.6,-76.6,-4.61,1.14,15.4,Z,0.1,2026-07-09,2026-07-10
CITYBANK,City Bank PLC.,30.7,76,Fair,52,6.0,IN-ZONE,28.9,31.7,above upper band,bullish,none,improving,accumulation,high,40.67,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,Inverted Hammer,52.1,1.59,48,22.6,-28.1,-1.93,0.87,6.3,A,unavailable,2026-07-09,2026-07-10
CITYGENINS,City Insurance PLC.,107.3,53,Mixed,65,2.5,fair,105.1,107.7,inside bands (+1.7σ),bearish,watch-bullish,improving,accumulation,high,23.24,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,Price reclaims MA200,47.4,3.19,38,37.3,-69.0,-3.08,0.01,6.2,A,0.1,2026-07-09,2026-07-10
CLICL,Chartered Life Insurance PLC.,54.6,4,High risk,41,-0.8,IN-ZONE,52.2,60.8,inside bands (-0.7σ),bearish,watch-bullish,deteriorating,accumulation,high,8.94,0,0,none,,,,,bull,-0.58,MACD bull cross,NO-EDGE,-0.25,1.08,-7.9,42.8,0.428,0.417,0.436,0.2364,4064,,,,RSI>70 overbought,65.9,0.85,41,47.5,-69.9,-4.08,0.89,4.1,B,unavailable,2026-07-09,2026-07-10
CNATEX,C & A Textiles Limited,3.1,4,High risk,44,-4.7,IN-ZONE,3.0,3.2,inside bands (-0.4σ),bearish,watch-bullish,stable,neutral,high,-3.81,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,Bullish Marubozu,48.7,2.55,39,50.4,-85.8,-4.55,1.37,4.1,Z,0.3,2026-07-09,2026-07-10
CONFIDCEM,Confidence Cement PLC.,68.8,78,Fair,73,9.6,EXTENDED,62.6,70.1,above upper band,bullish,none,improving,accumulation,high,88.68,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,Stretch<-30% vs MA200,70.5,6.05,88,31.7,-71.6,-2.87,1.13,5.5,A,unavailable,2026-07-09,2026-07-10
CONTININS,Continental Insurance PLC.,38.1,20,Weak,78,18.7,EXTENDED,36.1,38.8,inside bands (-0.0σ),bearish,watch-bullish,deteriorating,accumulation,high,22.78,0,0,none,,,,,bull,-0.58,52w-high breakout,WORKS,1.28,1.42,4.8,46.6,0.489,0.417,0.436,0.2367,1189,48.9,5.23,47,Stretch<-30% vs MA200,82.8,24.39,58,43.0,-64.7,-3.66,1.03,14.1,B,unavailable,2026-07-09,2026-07-10
COPPERTECH,Coppertech Industries Limited,27.2,34,Weak,48,3.5,IN-ZONE,25.7,30.4,inside bands (-0.7σ),bearish,watch-bullish,deteriorating,accumulation,high,14.32,0,0,none,,,,,bull,-0.58,Bullish Harami,NO-EDGE,-0.17,1.11,-0.1,44.9,0.5,0.475,0.436,0.2424,6375,50.0,0.09,54,Below lower Bollinger,60.4,2.17,48,44.9,-70.5,-4.0,1.26,8.5,B,unavailable,2026-07-09,2026-07-10
CROWNCEMNT,Crown Cement PLC.,66.9,46,Mixed,78,23.4,EXTENDED,61.9,67.6,above upper band,bullish,none,improving,accumulation,high,62.66,0,0,none,,,,,bull,-0.58,Bullish Harami,NO-EDGE,-0.17,1.11,-0.1,44.9,0.358,0.333,0.436,0.2424,6375,35.8,-1.15,81,RSI>70 overbought,62.5,1.12,128,33.4,-50.6,-2.85,0.86,10.4,A,0.1,2026-07-09,2026-07-10
CRYSTALINS,Crystal Insurance Company Limited,73.0,2,High risk,49,-0.5,IN-ZONE,72.1,75.0,inside bands (+0.4σ),bullish,none,improving,accumulation,high,27.65,0,0,none,,,,,bull,-0.58,Bullish Engulfing,NO-EDGE,0.07,1.18,-0.0,44.8,0.448,0.417,0.436,0.2436,2558,,,,52w-high breakout,60.6,9.53,33,52.4,-71.8,-4.6,1.24,6.4,A,unavailable,2026-07-09,2026-07-10
CVOPRL,CVO Petrochemical Refinery PLC.,171.1,11,High risk,61,4.7,fair,160.0,175.0,inside bands (+1.9σ),bullish,none,improving,neutral,high,13.12,0,0,none,,,,,bull,-0.58,Bullish Engulfing,NO-EDGE,0.07,1.18,-0.0,44.8,0.431,0.417,0.436,0.2436,2558,43.1,-0.21,65,RSI<30 oversold,59.0,4.18,183,41.0,-65.5,-3.47,1.12,4.3,A,unavailable,2026-07-09,2026-07-10
DACCADYE,The Dacca Dyeing & Manufacturing Co.Ltd.,17.5,0,High risk,50,8.8,fair,17.4,17.6,inside bands (+0.6σ),bearish,watch-bullish,deteriorating,accumulation,high,25.71,0,0,none,,,,,bull,-0.58,Price reclaims MA200,NO-EDGE,-0.57,0.98,-10.1,40.9,0.429,0.417,0.436,0.2363,2100,42.9,0.44,63,Stretch<-30% vs MA200,73.1,6.09,175,47.1,-71.5,-3.89,1.09,4.0,Z,0.1,2026-07-09,2026-07-10
DAFODILCOM,Daffodil Computers PLC.,170.6,0,High risk,65,22.3,EXTENDED,140.1,171.9,inside bands (+0.9σ),bearish,none,deteriorating,accumulation,high,12.9,0,0,none,,,,,bull,-0.58,52w-high breakout|MACD bull cross,WORKS,1.28,1.42,4.8,46.6,0.541,0.475,0.436,0.2367,1189,61.9,3.98,105,Stretch<-30% vs MA200,77.6,6.71,58,38.8,-70.9,-3.69,0.99,80.3,B,unavailable,2026-07-09,2026-07-10
DBH,DBH Finance PLC.,41.1,75,Fair,48,4.8,IN-ZONE,38.3,42.8,inside bands (+0.7σ),bearish,none,stable,accumulation,high,49.55,0,0,none,,,,,bull,-0.58,MACD bull cross,NO-EDGE,-0.25,1.08,-7.9,42.8,0.417,0.417,0.436,0.2364,4064,41.7,-0.49,132,Stretch<-30% vs MA200,65.2,6.06,66,25.2,-63.1,-2.12,0.86,3.7,A,unavailable,2026-07-09,2026-07-10
DBH1STMF,DBH First Mutual Fund,4.9,11,High risk,62,5.3,fair,4.5,5.1,inside bands (+0.7σ),bullish,watch-bearish,stable,accumulation,high,10.32,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,Tweezer Bottom,55.8,2.31,52,37.2,-64.3,-3.77,,2.1,A,0.3,2026-07-09,2026-07-10
DELTALIFE,Delta Life Insurance Company Ltd.,83.5,18,High risk,57,8.3,fair,75.7,87.2,inside bands (+0.5σ),bearish,watch-bullish,deteriorating,accumulation,high,0,0,0,none,,,,,bull,-0.58,MACD bull cross|Bullish Engulfing,NO-EDGE,0.07,1.18,-0.0,44.8,0.417,0.417,0.436,0.2436,2558,42.2,0.34,90,Stretch<-30% vs MA200,67.0,5.92,91,39.0,-73.4,-3.5,0.97,5.4,A,unavailable,2026-07-09,2026-07-10
DELTASPINN,Delta Spinners Ltd.,7.3,45,Mixed,69,9.2,EXTENDED,6.5,7.5,inside bands (-0.0σ),bearish,watch-bullish,improving,accumulation,high,14.41,0,0,none,,,,,bull,-0.58,52w-high breakout,WORKS,1.28,1.42,4.8,46.6,0.294,0.285,0.436,0.2367,1189,29.4,-5.18,34,Stretch<-30% vs MA200,68.0,8.07,181,44.5,-71.9,-3.9,1.06,9.7,Z,0.2,2026-07-09,2026-07-10
DESCO,Dhaka Electric Supply Company Ltd.,26.5,7,High risk,75,14.4,EXTENDED,23.4,26.9,inside bands (+1.9σ),bullish,none,deteriorating,accumulation,high,35.33,0,0,none,,,,,bull,-0.58,Bullish Engulfing,NO-EDGE,0.07,1.18,-0.0,44.8,0.442,0.417,0.436,0.2436,2558,44.2,-0.63,104,Stretch<-30% vs MA200,75.0,7.88,36,32.4,-60.9,-2.86,0.63,6.0,Z,0.2,2026-07-09,2026-07-10
DESHBANDHU,Deshbandhu Polymer Limited,21.4,0,High risk,47,9.5,fair,19.6,22.6,inside bands (+1.1σ),bearish,watch-bullish,deteriorating,neutral,high,14.54,0,0,none,,,,,bull,-0.58,Bullish Engulfing,NO-EDGE,0.07,1.18,-0.0,44.8,0.542,0.475,0.436,0.2436,2558,54.2,1.45,96,RSI<30 oversold,68.3,3.45,139,53.0,-72.1,-4.74,1.24,8.2,B,unavailable,2026-07-09,2026-07-10
DGIC,Desh General Insurance Company Limited,33.3,0,High risk,68,28.6,EXTENDED,30.4,33.5,inside bands (+0.6σ),bearish,watch-bullish,deteriorating,accumulation,high,11.35,0,0,none,,,,,bull,-0.58,52w-high breakout,WORKS,1.28,1.42,4.8,46.6,0.466,0.417,0.436,0.2367,1189,,,,RSI<30 oversold,72.9,4.89,48,44.8,-67.5,-3.94,1.19,26.6,B,unavailable,2026-07-09,2026-07-10
DHAKABANK,Dhaka Bank PLC.,12.1,77,Fair,54,1.1,IN-ZONE,12.0,12.6,inside bands (+1.4σ),bullish,none,improving,accumulation,high,23.64,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,RSI>70 overbought,69.3,0.96,140,25.3,-40.7,-2.33,0.89,2.7,A,unavailable,2026-07-09,2026-07-10
DHAKAINS,Dhaka Insurance Limited,45.1,9,High risk,48,8.1,fair,41.0,46.5,inside bands (-0.8σ),bearish,watch-bullish,deteriorating,neutral,high,36.7,0,0,none,,,,,bull,-0.58,MACD bull cross,NO-EDGE,-0.25,1.08,-7.9,42.8,0.441,0.417,0.436,0.2364,4064,44.1,-0.13,136,Stretch<-30% vs MA200,83.1,7.93,65,41.5,-71.7,-3.43,1.09,7.2,A,0.1,2026-07-09,2026-07-10
DOMINAGE,Dominage Steel Building Systems Limited,81.7,0,High risk,54,9.7,fair,74.0,82.0,inside bands (+0.3σ),bearish,watch-bullish,deteriorating,accumulation,high,17.16,0,0,none,,,,,bull,-0.58,Bullish Engulfing,NO-EDGE,0.07,1.18,-0.0,44.8,0.448,0.417,0.436,0.2436,2558,,,,52w-high breakout,82.9,10.19,70,43.5,-79.0,-3.69,0.56,60.8,B,unavailable,2026-07-09,2026-07-10
