scrip,name,ltp,score,band,rsi,stretch_pct,entry,sup,res,bollinger,macd,macd_crossover_risk,health_trend,flow_pressure,data_confidence,navps,witnesses,depth,stack_bucket,stack_win_pct,stack_net_pct,stack_median_pct,stack_n,market_regime,regime_mean_pct,signals,signal_status,net_exp_pct,profit_factor,z,hit_pct,p_up_raw,p_up_cal,base_rate_up,signal_brier,signal_n,tk_hit_pct,tk_net_pct,tk_n,best_sig,best_sig_hit,best_sig_net,best_sig_n,vol_ann_pct,max_dd_5y_pct,var95_daily_pct,beta,crashP_pct,cat,liquidity,updated,history_last_bar
ESQUIRENIT,Esquire Knit Composite PLC,27.4,7,High risk,76,17.0,EXTENDED,23.5,28.0,inside bands (+2.0σ),bearish,watch-bullish,deteriorating,accumulation,high,65.1,0,0,none,,,,,bull,-0.58,MACD bull cross,NO-EDGE,-0.25,1.08,-7.9,42.8,0.5,0.475,0.436,0.2364,4064,50.0,0.11,48,RSI<30 oversold,75.0,10.14,36,41.7,-64.8,-3.38,0.91,8.1,A,0.1,2026-07-09,2026-07-10
ETL,Evince Textiles Limited,14.1,24,Weak,65,18.6,fair,11.3,14.5,inside bands (+1.5σ),bullish,none,improving,accumulation,high,12.83,0,0,none,,,,,bull,-0.58,52w-high breakout,WORKS,1.28,1.42,4.8,46.6,0.466,0.417,0.436,0.2367,1189,,,,Stretch>50% vs MA200,83.9,5.73,31,42.7,-54.6,-3.7,1.03,11.2,B,unavailable,2026-07-09,2026-07-10
EXIM1STMF,EXIM Bank 1st Mutual Fund,3.6,8,High risk,55,1.1,IN-ZONE,3.5,3.7,inside bands (-0.1σ),bearish,watch-bullish,deteriorating,accumulation,high,8.16,0,0,none,,,,,bull,-0.58,MACD bull cross,NO-EDGE,-0.25,1.08,-7.9,42.8,0.412,0.417,0.436,0.2364,4064,41.2,0.01,80,RSI>70 overbought,70.7,3.26,75,39.0,-74.0,-3.45,,3.6,A,0.6,2026-07-09,2026-07-10
EXIMBANK,Export Import (Exim) Bank of Bangladesh PLC.,3.0,19,High risk,30,-18.9,IN-ZONE,2.8,3.2,inside bands (-1.6σ),bearish,watch-bullish,deteriorating,distribution,high,21.82,1,36,1-witness,49.2,0.88,-0.18,154016,bull,-0.58,Stretch<-30% vs MA200,WORKS,2.77,1.97,15.4,54.4,0.544,0.475,0.436,0.239,4663,,,,Below the Stomach,57.5,1.04,40,29.1,-79.6,-2.47,1.39,0.5,A,0.1,2026-07-09,2026-07-10
FAMILYTEX,Familytex (BD) Limited,2.5,0,High risk,29,-9.9,IN-ZONE,1.6,2.8,inside bands (-1.4σ),bearish,none,deteriorating,neutral,high,11.48,0,0,none,,,,,bull,-0.58,RSI<30 oversold,WORKS,1.25,1.61,15.2,52.9,0.444,0.417,0.436,0.2542,16105,44.4,2.11,187,Stretch<-30% vs MA200,88.9,14.67,36,52.5,-86.4,-5.26,1.27,6.5,Z,0.4,2026-07-09,2026-07-10
FARCHEM,Far Chemical Industries Limited,21.1,0,High risk,71,16.8,EXTENDED,19.8,21.2,above upper band,bearish,watch-bullish,stable,accumulation,high,32.52,0,0,none,,,,,bull,-0.58,MACD bull cross,NO-EDGE,-0.25,1.08,-7.9,42.8,0.416,0.417,0.436,0.2364,4064,41.6,-1.5,77,Stretch>50% vs MA200,84.5,4.78,58,97.8,-61.7,-3.61,1.28,10.2,B,0.1,2026-07-09,2026-07-10
FAREASTFIN,Fareast Finance & Investment Limited,1.2,0,High risk,25,-28.4,IN-ZONE,1.1,1.3,inside bands (-0.9σ),bullish,none,stable,distribution,high,-50.48,0,0,none,,,,,bull,-0.58,RSI<30 oversold,WORKS,1.25,1.61,15.2,52.9,0.617,0.514,0.436,0.2542,16105,61.7,1.1,133,Below the Stomach,73.0,4.49,37,67.6,-96.3,-7.69,,2.1,Z,1.2,2026-07-09,2026-07-10
FAREASTLIF,Fareast Islami Life Insurance Co. Ltd.,22.8,5,High risk,30,3.9,IN-ZONE,22.5,22.9,inside bands (-0.3σ),bearish,none,deteriorating,accumulation,high,0,0,0,none,,,,,bull,-0.58,RSI<30 oversold,WORKS,1.25,1.61,15.2,52.9,0.583,0.475,0.436,0.2542,16105,58.3,1.16,206,Stretch<-30% vs MA200,56.1,2.68,171,45.9,-86.0,-4.26,1.39,4.0,Z,0.4,2026-07-09,2026-07-10
FASFIN,FAS Finance & Investment Limited,1.2,0,High risk,33,-31.5,IN-ZONE,0.8,1.3,inside bands (-0.1σ),bullish,none,deteriorating,distribution,high,-125.55,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,Stretch<-30% vs MA200,59.9,4.9,287,60.7,-96.4,-6.67,1.64,1.8,Z,0.9,2026-07-09,2026-07-10
FBFIF,First Bangladesh Fixed Income Fund,3.2,8,High risk,56,3.6,IN-ZONE,3.1,3.3,inside bands (+1.3σ),bearish,none,deteriorating,accumulation,high,8.32,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,Above upper Bollinger,65.7,1.07,134,34.8,-68.5,-3.23,,4.0,A,0.5,2026-07-09,2026-07-10
FEDERALINS,Federal Insurance PLC,27.9,25,Weak,39,10.5,fair,26.0,29.9,inside bands (-0.5σ),bearish,none,stable,accumulation,high,13.04,0,0,none,,,,,bull,-0.58,Bullish Engulfing,NO-EDGE,0.07,1.18,-0.0,44.8,0.452,0.417,0.436,0.2436,2558,45.2,0.2,84,Stretch<-30% vs MA200,84.3,8.54,70,36.9,-69.0,-3.12,1.03,9.8,A,unavailable,2026-07-09,2026-07-10
FEKDIL,Far East Knitting & Dyeing Industries PLC.,24.2,32,Weak,86,51.9,EXTENDED,15.3,24.3,above upper band,bullish,none,improving,accumulation,high,21.37,0,0,none,,,,,bull,-0.58,52w-high breakout,WORKS,1.28,1.42,4.8,46.6,0.466,0.417,0.436,0.2367,1189,,,,RSI<30 oversold,64.1,2.82,103,43.2,-49.0,-3.26,0.62,40.3,A,unavailable,2026-07-09,2026-07-10
FINEFOODS,Fine Foods Limited,513.1,53,Mixed,32,-5.3,IN-ZONE,452.3,570.0,inside bands (-1.0σ),bearish,watch-bullish,stable,neutral,high,14.65,0,0,none,,,,,bull,-0.58,RSI<30 oversold,WORKS,1.25,1.61,15.2,52.9,0.567,0.475,0.436,0.2542,16105,56.7,4.49,120,RSI<30 oversold,56.7,4.49,120,38.4,-41.6,-3.2,0.14,6.4,A,unavailable,2026-07-09,2026-07-10
FIRSTFIN,First Finance Limited,4.1,0,High risk,42,-4.0,IN-ZONE,4.0,4.2,inside bands (-1.9σ),bearish,none,stable,distribution,high,-37.86,0,0,none,,,,,bull,-0.58,MACD bull cross,NO-EDGE,-0.25,1.08,-7.9,42.8,0.425,0.417,0.436,0.2364,4064,42.5,0.44,113,Stretch>50% vs MA200,78.0,6.5,41,54.3,-80.0,-5.13,,5.7,Z,1.3,2026-07-09,2026-07-10
FIRSTSBANK,First Security Islami Bank PLC.,1.9,0,High risk,27,-24.1,IN-ZONE,1.8,2.2,inside bands (-1.8σ),bearish,none,deteriorating,distribution,high,16.4,1,40,1-witness,49.2,0.88,-0.18,154016,bull,-0.58,RSI<30 oversold|Stretch<-30% vs MA200,WORKS,2.77,1.97,15.4,54.4,0.554,0.475,0.436,0.239,4663,,,,Above the Stomach,62.5,3.99,40,35.6,-85.0,-3.23,1.37,0.5,Z,0.1,2026-07-09,2026-07-10
FORTUNE,Fortune Shoes Limited,18.5,5,High risk,72,25.0,EXTENDED,14.2,18.6,inside bands (+1.3σ),bullish,none,deteriorating,accumulation,high,14.7,0,0,none,,,,,bull,-0.58,52w-high breakout,WORKS,1.28,1.42,4.8,46.6,0.586,0.475,0.436,0.2367,1189,58.6,7.53,58,52w-high breakout,58.6,7.53,58,45.2,-92.6,-3.96,1.38,12.4,Z,0.1,2026-07-09,2026-07-10
FUWANGCER,Fu-Wang Ceramic Industries Ltd.,15.4,0,High risk,49,11.1,fair,14.8,15.6,inside bands (+1.7σ),bullish,none,deteriorating,accumulation,high,12.0,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,Stretch<-30% vs MA200,65.3,4.39,101,47.8,-67.8,-4.0,1.26,8.5,B,unavailable,2026-07-09,2026-07-10
FUWANGFOOD,Fu Wang Food Ltd.,12.2,0,High risk,65,13.2,fair,11.1,13.2,inside bands (+1.2σ),bullish,none,deteriorating,neutral,high,2.03,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,Stretch>50% vs MA200,87.3,6.72,71,50.3,-79.1,-4.43,1.18,8.1,Z,0.1,2026-07-09,2026-07-10
GBBPOWER,GBB Power Ltd.,8.5,6,High risk,41,1.1,IN-ZONE,8.4,8.6,inside bands (-0.4σ),bearish,watch-bullish,deteriorating,neutral,high,20.31,0,0,none,,,,,bull,-0.58,MACD bull cross,NO-EDGE,-0.25,1.08,-7.9,42.8,0.337,0.333,0.436,0.2364,4064,33.7,-0.42,95,Bullish Marubozu,55.9,2.26,34,42.8,-89.2,-3.7,1.16,5.5,Z,0.5,2026-07-09,2026-07-10
GEMINISEA,Gemini Sea Food PLC,122.0,0,High risk,68,4.8,fair,119.8,122.1,inside bands (+0.1σ),bullish,none,improving,accumulation,high,19.69,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,Bullish Marubozu,55.6,8.82,36,53.8,-80.5,-4.63,1.14,2.9,Z,0.2,2026-07-09,2026-07-10
GENEXIL,Genex Infosys PLC,41.4,0,High risk,75,32.7,EXTENDED,33.5,43.0,inside bands (+0.4σ),bearish,none,deteriorating,accumulation,high,22.11,0,0,none,,,,,bull,-0.58,52w-high breakout,WORKS,1.28,1.42,4.8,46.6,0.533,0.475,0.436,0.2367,1189,53.3,1.76,30,52w-high breakout,53.3,1.76,30,44.8,-87.2,-3.69,1.22,30.3,B,unavailable,2026-07-09,2026-07-10
GENNEXT,Generation Next Fashions Limited,2.9,0,High risk,40,-5.5,IN-ZONE,2.8,3.0,inside bands (+0.2σ),bullish,none,stable,neutral,high,11.88,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,Stretch<-30% vs MA200,57.1,4.08,91,45.6,-78.0,-4.0,1.32,3.5,Z,0.3,2026-07-09,2026-07-10
GHAIL,Golden Harvest Agro Industries Ltd.,15.4,7,High risk,55,10.1,fair,15.1,16.4,inside bands (+1.2σ),bullish,watch-bearish,stable,accumulation,high,12.33,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,Stretch<-30% vs MA200,80.5,9.12,77,39.0,-62.5,-3.48,1.18,7.3,B,unavailable,2026-07-09,2026-07-10
GHCL,Global Heavy Chemicals Limited,20.5,0,High risk,49,3.0,IN-ZONE,20.2,21.5,inside bands (-0.4σ),bearish,watch-bullish,deteriorating,distribution,high,71.89,0,0,none,,,,,bull,-0.58,MACD bull cross,NO-EDGE,-0.25,1.08,-7.9,42.8,0.376,0.333,0.436,0.2364,4064,37.6,-0.77,109,Stretch<-30% vs MA200,66.2,9.26,65,49.2,-68.6,-4.19,0.85,4.2,Z,0.4,2026-07-09,2026-07-10
GIB,Global Islami Bank PLC,1.7,15,High risk,25,-10.2,IN-ZONE,1.6,1.8,inside bands (-1.3σ),bearish,none,deteriorating,distribution,high,-21.77,1,35,1-witness,49.2,0.88,-0.18,154016,bull,-0.58,RSI<30 oversold|Stretch<-30% vs MA200|MACD bull cross,WORKS,2.77,1.97,15.4,54.4,0.311,0.333,0.436,0.239,4663,17.9,-4.51,84,Bearish Engulfing,82.5,3.95,40,37.4,-85.6,-4.17,0.8,0.6,Z,0.5,2026-07-09,2026-07-10
GLDNJMF,ICB AMCL CMSF Golden Jubilee Mutual Fund,6.8,51,Mixed,58,7.3,fair,6.2,7.4,inside bands (+1.7σ),bearish,watch-bullish,improving,accumulation,high,9.39,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,Stretch<-30% vs MA200,51.9,1.78,54,47.9,-69.3,-3.45,0.8,3.9,A,0.3,2026-07-09,2026-07-10
GLOBALINS,Global Insurance PLC,44.9,0,High risk,75,27.6,EXTENDED,41.2,45.4,inside bands (+0.9σ),bearish,watch-bullish,stable,accumulation,high,14.54,0,0,none,,,,,bull,-0.58,52w-high breakout|Bullish Engulfing,WORKS,1.28,1.42,4.8,46.6,0.427,0.417,0.436,0.2367,1189,46.7,-3.19,45,Stretch<-30% vs MA200,92.2,16.74,77,43.8,-76.9,-3.7,1.04,23.2,A,unavailable,2026-07-09,2026-07-10
GOLDENSON,Golden Son Ltd.,16.8,0,High risk,52,7.1,IN-ZONE,15.9,17.6,inside bands (+0.4σ),bearish,watch-bullish,deteriorating,neutral,high,16.06,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,Stretch<-30% vs MA200,79.7,6.87,79,51.6,-65.8,-4.23,1.31,12.9,B,unavailable,2026-07-09,2026-07-10
GP,Grameenphone Ltd.,256.7,63,Fair,65,4.0,fair,238.1,257.0,inside bands (+1.4σ),bullish,watch-bearish,stable,accumulation,high,49.39,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,Stretch<-30% vs MA200,50.0,3.25,50,17.2,-42.7,-1.59,0.28,2.5,A,unavailable,2026-07-09,2026-07-10
GPHISPAT,GPH Ispat Ltd.,19.7,0,High risk,73,16.6,EXTENDED,17.0,19.8,inside bands (+0.8σ),bearish,watch-bullish,deteriorating,accumulation,high,51.72,0,0,none,,,,,bull,-0.58,MACD bull cross,NO-EDGE,-0.25,1.08,-7.9,42.8,0.471,0.417,0.436,0.2364,4064,47.1,0.11,102,Stretch<-30% vs MA200,43.4,2.06,53,32.7,-75.8,-2.87,1.07,6.2,B,unavailable,2026-07-09,2026-07-10
GQBALLPEN,GQ Ball Pen Industries Ltd.,625.4,0,High risk,44,-4.0,IN-ZONE,549.3,714.9,inside bands (-0.9σ),bearish,watch-bullish,stable,neutral,high,135.81,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,52w-high breakout,59.6,9.12,104,45.2,-46.6,-3.86,0.32,6.7,A,unavailable,2026-07-09,2026-07-10
GRAMEENS2,Grameen One : Scheme Two,12.9,33,Weak,60,3.7,fair,12.2,13.3,inside bands (+1.3σ),bullish,none,deteriorating,accumulation,high,15.89,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,Stretch>50% vs MA200,68.3,2.7,41,29.5,-50.5,-2.52,0.48,3.7,A,0.6,2026-07-09,2026-07-10
GREENDELMF,Green Delta Mutual Fund,4.0,18,High risk,71,13.6,EXTENDED,3.9,4.3,above upper band,bullish,none,stable,accumulation,high,10.16,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,Stretch<-30% vs MA200,49.1,2.89,53,37.8,-73.2,-3.23,,6.0,A,1.0,2026-07-09,2026-07-10
GREENDELT,Green Delta Insurance PLC.,69.5,13,High risk,56,11.8,fair,61.4,70.0,inside bands (+1.2σ),bullish,none,stable,accumulation,high,70.53,0,0,none,,,,,bull,-0.58,52w-high breakout|Bullish Engulfing,WORKS,1.28,1.42,4.8,46.6,0.392,0.333,0.436,0.2367,1189,39.2,2.55,51,Stretch<-30% vs MA200,83.3,6.54,78,36.6,-74.1,-3.02,0.86,8.7,A,unavailable,2026-07-09,2026-07-10
GSPFINANCE,GSP Finance Company (Bangladesh) PLC.,3.5,0,High risk,29,-6.3,IN-ZONE,3.4,3.6,inside bands (-1.3σ),bearish,none,deteriorating,distribution,high,4.6,0,0,none,,,,,bull,-0.58,RSI<30 oversold,WORKS,1.25,1.61,15.2,52.9,0.365,0.333,0.436,0.2542,16105,36.5,-2.04,203,Bullish Engulfing,60.8,3.25,51,56.2,-96.2,-5.8,1.87,4.7,Z,1.6,2026-07-09,2026-07-10
HAKKANIPUL,Hakkani Pulp & Paper Mills PLC.,82.4,14,High risk,65,4.4,fair,76.2,83.9,inside bands (-0.0σ),bullish,none,stable,neutral,high,24.24,0,0,none,,,,,bull,-0.58,Morning Star,NO-EDGE,-0.3,1.06,-5.0,43.4,0.494,0.417,0.436,0.2393,2362,49.4,1.26,83,Stretch<-30% vs MA200,74.5,9.97,110,45.5,-60.8,-4.11,1.18,4.6,B,unavailable,2026-07-09,2026-07-10
HAMI,Hami Industries PLC,150.7,0,High risk,38,-12.2,IN-ZONE,146.0,157.5,inside bands (-0.0σ),bullish,none,deteriorating,distribution,high,1.97,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,52w-high breakout,59.8,4.95,92,53.9,-75.8,-4.49,,6.0,Z,0.2,2026-07-09,2026-07-10
HEIDELBCEM,Heidelberg Materials Bangladesh PLC.,225.9,49,Mixed,45,2.0,IN-ZONE,220.0,249.9,inside bands (+0.5σ),bearish,watch-bullish,improving,accumulation,high,73.92,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,Stretch<-30% vs MA200,67.2,2.93,116,40.8,-53.7,-3.24,0.74,3.1,A,0.1,2026-07-09,2026-07-10
HFL,Hamid Fabrics PLC,14.1,0,High risk,46,-7.4,IN-ZONE,14.0,15.0,inside bands (+0.6σ),bearish,watch-bullish,deteriorating,distribution,high,33.66,0,0,none,,,,,bull,-0.58,Below lower Bollinger,WORKS,0.38,1.3,12.7,51.2,0.569,0.475,0.436,0.2457,5769,56.9,4.97,123,Below lower Bollinger,56.9,4.97,123,54.0,-89.3,-3.76,1.51,15.8,Z,0.3,2026-07-09,2026-07-10
HRTEX,H.R.Textile Ltd.,21.6,5,High risk,56,8.0,fair,21.0,22.0,inside bands (+1.0σ),bearish,watch-bullish,deteriorating,accumulation,high,21.43,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,Double Bottom,66.1,3.29,59,48.0,-90.1,-4.41,1.57,5.8,Z,0.3,2026-07-09,2026-07-10
HWAWELLTEX,Hwa Well Textiles (BD) PLC.,47.6,50,Mixed,73,10.1,EXTENDED,43.1,48.4,above upper band,bullish,none,deteriorating,accumulation,high,40.16,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,Below lower Bollinger,68.7,1.93,99,33.1,-40.7,-2.91,,4.2,A,0.1,2026-07-09,2026-07-10
IBNSINA,The IBN SINA  Pharmaceutical Industry PLC,320.8,87,Strong,80,2.4,EXTENDED,306.0,328.6,inside bands (+1.7σ),bullish,none,stable,accumulation,high,125.69,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,Stretch>50% vs MA200,66.7,2.88,45,21.2,-34.0,-1.8,0.35,2.9,A,0.1,2026-07-09,2026-07-10
IBP,Indo-Bangla Pharmaceuticals Limited,18.4,7,High risk,73,24.6,EXTENDED,17.6,18.7,above upper band,bullish,none,deteriorating,accumulation,high,12.53,0,0,none,,,,,bull,-0.58,52w-high breakout,WORKS,1.28,1.42,4.8,46.6,0.466,0.417,0.436,0.2367,1189,,,,Below lower Bollinger,58.4,2.69,77,44.3,-74.5,-3.6,1.27,13.7,B,unavailable,2026-07-09,2026-07-10
ICB,Investment Corporation Of Bangladesh,46.8,15,High risk,67,12.9,fair,42.3,49.5,inside bands (+1.0σ),bullish,watch-bearish,deteriorating,accumulation,high,37.45,0,0,none,,,,,bull,-0.58,Bullish Engulfing,NO-EDGE,0.07,1.18,-0.0,44.8,0.5,0.475,0.436,0.2436,2558,50.0,2.22,62,Stretch<-30% vs MA200,63.7,5.43,102,37.2,-77.6,-3.06,1.08,5.7,B,0.1,2026-07-09,2026-07-10
ICB3RDNRB,ICB AMCL Third NRB Mutual Fund,5.3,9,High risk,69,13.9,EXTENDED,4.5,5.4,inside bands (+1.4σ),bullish,none,deteriorating,accumulation,high,7.26,0,0,none,,,,,bull,-0.58,52w-high breakout,WORKS,1.28,1.42,4.8,46.6,0.466,0.417,0.436,0.2367,1189,,,,Below lower Bollinger,57.7,1.12,149,35.4,-54.4,-2.99,,6.3,A,0.4,2026-07-09,2026-07-10
ICBAGRANI1,ICB AMCL First Agrani Bank Mutual Fund,7.5,16,High risk,71,10.5,EXTENDED,7.3,7.8,inside bands (+1.6σ),bullish,none,deteriorating,accumulation,high,9.0,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,RSI>70 overbought,84.4,6.78,32,38.8,-45.0,-3.23,,4.8,A,1.3,2026-07-09,2026-07-10
ICBAMCL2ND,ICB AMCL Second Mutual Fund,6.7,15,High risk,69,9.0,fair,6.3,6.9,above upper band,bullish,none,deteriorating,accumulation,high,8.08,0,0,none,,,,,bull,-0.58,52w-high breakout,WORKS,1.28,1.42,4.8,46.6,0.436,0.417,0.436,0.2367,1189,43.6,-0.82,39,Stretch<-30% vs MA200,65.6,3.73,32,36.4,-66.9,-3.3,,5.0,A,1.4,2026-07-09,2026-07-10
ICBEPMF1S1,ICB Employees Provident MF 1: Scheme 1,6.3,1,High risk,41,0.4,IN-ZONE,5.9,7.3,inside bands (-0.9σ),bearish,watch-bullish,deteriorating,distribution,high,7.38,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,Stretch<-30% vs MA200,85.3,5.53,34,42.0,-61.6,-3.7,,12.7,A,0.1,2026-07-09,2026-07-10
ICBIBANK,ICB Islamic Bank Limited,2.8,8,High risk,40,2.2,IN-ZONE,2.7,2.9,inside bands (-0.9σ),bearish,none,deteriorating,neutral,high,-20.78,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,Stretch>50% vs MA200,63.6,5.57,33,45.0,-71.2,-4.17,,3.6,Z,0.8,2026-07-09,2026-07-10
ICBSONALI1,ICB AMCL Sonali Bank Limited 1st Mutual Fund,5.9,6,High risk,91,19.8,EXTENDED,4.8,6.1,above upper band,bullish,none,deteriorating,accumulation,high,8.23,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,RSI>70 overbought,80.9,4.13,47,39.3,-63.6,-3.7,,11.3,A,0.3,2026-07-09,2026-07-10
ICICL,Islami Commercial Insurance PLC.,32.6,3,High risk,70,19.4,EXTENDED,27.2,32.8,inside bands (-0.3σ),bearish,watch-bullish,stable,accumulation,high,17.24,0,0,none,,,,,bull,-0.58,52w-high breakout|MACD bull cross,WORKS,1.28,1.42,4.8,46.6,0.447,0.417,0.436,0.2367,1189,,,,Stochastic>80,60.0,1.41,55,43.5,-60.4,-3.56,0.92,13.7,A,unavailable,2026-07-09,2026-07-10
IDLC,IDLC Finance PLC.,42.4,80,Strong,68,9.0,fair,40.5,42.7,inside bands (+0.8σ),bearish,watch-bullish,improving,accumulation,high,49.96,0,0,none,,,,,bull,-0.58,MACD bull cross|Bullish Engulfing,NO-EDGE,0.07,1.18,-0.0,44.8,0.484,0.417,0.436,0.2436,2558,50.0,0.64,84,Stretch<-30% vs MA200,65.9,5.55,85,28.1,-61.5,-2.72,0.89,4.5,A,unavailable,2026-07-09,2026-07-10
IFADAUTOS,IFAD Autos PLC.,26.6,21,Weak,76,10.5,EXTENDED,24.3,26.9,inside bands (+1.7σ),bullish,none,deteriorating,accumulation,high,35.56,0,0,none,,,,,bull,-0.58,Bullish Engulfing,NO-EDGE,0.07,1.18,-0.0,44.8,0.519,0.475,0.436,0.2436,2558,51.9,0.73,52,RSI>70 overbought,71.0,2.78,62,35.1,-70.6,-2.98,1.13,5.7,B,unavailable,2026-07-09,2026-07-10
IFIC,IFIC Bank PLC,4.9,11,High risk,45,4.1,IN-ZONE,4.7,5.0,inside bands (+0.9σ),bullish,watch-bearish,deteriorating,accumulation,high,4.96,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,Stretch>50% vs MA200,87.9,7.7,33,37.1,-81.8,-3.1,1.51,2.5,Z,0.1,2026-07-09,2026-07-10
IFIC1STMF,IFIC Bank 1st Mutual Fund,3.6,15,High risk,56,0.5,IN-ZONE,3.4,4.0,inside bands (+0.4σ),bullish,none,deteriorating,accumulation,high,8.19,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,Double Top,66.7,1.16,36,37.8,-70.9,-3.39,1.17,4.6,A,0.2,2026-07-09,2026-07-10
IFILISLMF1,IFIL Islamic Mutual Fund-1,4.6,20,Weak,67,10.3,fair,3.9,4.8,inside bands (+1.8σ),bullish,none,deteriorating,accumulation,high,6.8,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,Morning Star,44.3,1.76,61,36.0,-61.5,-3.03,,5.1,A,1.4,2026-07-09,2026-07-10
ILFSL,International Leasing & Financial Services Limited,1.2,0,High risk,33,-29.2,IN-ZONE,1.1,1.3,inside bands (-1.0σ),bullish,none,deteriorating,neutral,high,-212.32,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,Three Inside Up,54.8,3.38,31,61.7,-96.9,-6.67,1.59,1.8,Z,0.9,2026-07-09,2026-07-10
INDEXAGRO,Index Agro Industries Limited,78.0,48,Mixed,77,7.9,EXTENDED,75.3,79.0,inside bands (+0.2σ),bearish,watch-bullish,improving,accumulation,high,85.74,0,0,none,,,,,bull,-0.58,MACD bull cross,NO-EDGE,-0.25,1.08,-7.9,42.8,0.312,0.333,0.436,0.2364,4064,31.2,-1.03,32,RSI<30 oversold,63.3,2.6,30,40.7,-61.0,-3.32,0.81,5.3,A,unavailable,2026-07-09,2026-07-10
INTECH,Intech Limited,29.0,0,High risk,24,-17.5,IN-ZONE,28.3,33.6,inside bands (-0.9σ),bearish,watch-bullish,deteriorating,neutral,high,-0.45,2,20,2-witness,53.2,1.73,0.62,46891,bull,-0.58,RSI<30 oversold|Below lower Bollinger,WORKS,1.25,1.61,15.2,52.9,0.451,0.417,0.436,0.2542,16105,48.4,2.84,184,52w-high breakout,56.9,12.22,58,48.9,-65.4,-4.29,1.53,2.5,B,unavailable,2026-07-09,2026-07-10
INTRACO,Intraco Refueling Station PLC,22.3,9,High risk,74,18.9,EXTENDED,19.5,22.4,inside bands (+0.6σ),bearish,none,deteriorating,accumulation,high,13.24,0,0,none,,,,,bull,-0.58,Price reclaims MA200|MACD bull cross,NO-EDGE,-0.25,1.08,-7.9,42.8,0.505,0.475,0.436,0.2364,4064,41.0,-1.29,61,RSI<30 oversold,58.9,2.75,56,48.4,-71.0,-4.23,1.14,4.8,Z,0.1,2026-07-09,2026-07-10
IPDC,IPDC Finance PLC.,34.7,0,High risk,74,50.1,EXTENDED,20.6,36.0,inside bands (+1.5σ),bullish,watch-bearish,deteriorating,accumulation,high,17.85,0,0,none,,,,,bull,-0.58,52w-high breakout,WORKS,1.28,1.42,4.8,46.6,0.41,0.417,0.436,0.2367,1189,41.0,-1.33,83,Inverted Hammer,64.8,2.82,54,41.8,-81.3,-3.33,1.3,63.5,A,unavailable,2026-07-09,2026-07-10
ISLAMIBANK,Islami Bank Bangladesh PLC.,31.2,0,High risk,28,-5.3,IN-ZONE,23.9,32.6,inside bands (-0.3σ),bearish,none,deteriorating,distribution,high,44.52,0,0,none,,,,,bull,-0.58,RSI<30 oversold,WORKS,1.25,1.61,15.2,52.9,0.41,0.417,0.436,0.2542,16105,41.0,-1.97,244,Inverted Hammer,45.9,1.07,61,32.6,-62.4,-2.74,0.89,6.0,Z,0.1,2026-07-09,2026-07-10
ISLAMICFIN,Islamic Finance & Investment PLC.,11.4,0,High risk,58,6.8,fair,11.2,11.5,inside bands (-1.2σ),bearish,watch-bullish,deteriorating,accumulation,high,0.2,0,0,none,,,,,bull,-0.58,MACD bull cross,NO-EDGE,-0.25,1.08,-7.9,42.8,0.523,0.475,0.436,0.2364,4064,52.3,0.87,132,Stretch<-30% vs MA200,60.5,5.75,185,44.6,-83.2,-4.04,1.13,7.4,Z,0.3,2026-07-09,2026-07-10
