scrip,kind,a,b,c,d
1JANATAMF,signal,Below the Stomach,31,74.2,2.49
1JANATAMF,signal,Stretch<-30% vs MA200,38,44.7,1.67
1JANATAMF,signal,MACD bull cross,105,43.8,0.32
1JANATAMF,signal,RSI<30 oversold,148,36.5,0.28
1JANATAMF,signal,Stochastic>80,247,62.8,0.27
1JANATAMF,signal,RSI>70 overbought,142,60.6,0.08
1JANATAMF,signal,Three Outside Down,61,60.7,0.07
1JANATAMF,signal,Evening Star,32,56.2,0.01
1JANATAMF,signal,Stochastic<20,701,45.1,-0.13
1JANATAMF,signal,Bullish Harami,210,44.3,-0.17
1JANATAMF,signal,Above upper Bollinger,168,64.3,-0.22
1JANATAMF,signal,Bearish Harami,118,50.8,-0.68
1JANATAMF,signal,MACD bear cross,103,48.5,-0.87
1JANATAMF,signal,52w-low breakdown,56,60.7,-0.91
1JANATAMF,signal,Tweezer Bottom,67,32.8,-1.0
1JANATAMF,signal,Bearish Engulfing,277,56.7,-1.02
1JANATAMF,signal,Bearish Marubozu,147,49.0,-1.29
1JANATAMF,signal,Bullish Marubozu,167,35.3,-1.48
1JANATAMF,signal,Morning Star,58,31.0,-1.63
1JANATAMF,signal,Below lower Bollinger,124,40.3,-2.02
1JANATAMF,signal,Price reclaims MA200,53,28.3,-2.17
1JANATAMF,signal,Bullish Engulfing,35,25.7,-2.96
1JANATAMF,signal,Double Top,47,61.7,-3.02
1JANATAMF,bounce,2025-05-07,3.4,4.0,18
1JANATAMF,bounce,2025-11-16,2.1,3.0,43
1JANATAMF,bounce,2025-11-30,2.5,2.9,16
1JANATAMF,bounce,2026-01-25,2.3,3.2,39
1JANATAMF,bounce,2026-03-08,2.5,3.6,44
1JANATAMF,bounce,2026-03-31,3.0,3.5,17
1JANATAMF,bounce,2026-05-07,2.9,3.4,17
1JANATAMF,bounce,2026-05-18,2.9,3.4,17
1STPRIMFMF,signal,Stretch<-30% vs MA200,241,47.3,5.16
1STPRIMFMF,signal,RSI<30 oversold,218,51.8,3.3
1STPRIMFMF,signal,Bullish Marubozu,43,37.2,3.23
1STPRIMFMF,signal,Below the Stomach,52,61.5,2.89
1STPRIMFMF,signal,Price reclaims MA200,42,40.5,2.81
1STPRIMFMF,signal,52w-high breakout,51,49.0,2.09
1STPRIMFMF,signal,Above the Stomach,111,51.4,1.5
1STPRIMFMF,signal,Double Bottom,53,41.5,1.4
1STPRIMFMF,signal,Stochastic<20,1145,45.8,0.5
1STPRIMFMF,signal,Tweezer Bottom,35,40.0,0.49
1STPRIMFMF,signal,Stretch>50% vs MA200,224,54.0,0.21
1STPRIMFMF,signal,Below lower Bollinger,191,49.2,0.18
1STPRIMFMF,signal,Bullish Harami,279,41.2,0.09
1STPRIMFMF,signal,MACD bull cross,130,36.9,-0.11
1STPRIMFMF,signal,Bearish Marubozu,128,63.3,-0.42
1STPRIMFMF,signal,Bullish Engulfing,66,42.4,-0.53
1STPRIMFMF,signal,Three Outside Down,158,57.6,-0.61
1STPRIMFMF,signal,Three Inside Up,32,46.9,-0.61
1STPRIMFMF,signal,Morning Star,77,39.0,-0.84
1STPRIMFMF,signal,Bearish Engulfing,318,58.5,-0.99
1STPRIMFMF,signal,Bearish Harami,61,55.7,-1.25
1STPRIMFMF,signal,Inverted Hammer,54,40.7,-1.33
1STPRIMFMF,signal,Double Top,88,54.5,-1.4
1STPRIMFMF,signal,Evening Star,44,54.5,-1.58
1STPRIMFMF,signal,MACD bear cross,128,53.1,-1.7
1STPRIMFMF,signal,52w-low breakdown,118,57.6,-1.89
1STPRIMFMF,signal,Three Black Crows,69,43.5,-3.27
1STPRIMFMF,signal,Stochastic>80,316,56.0,-3.5
1STPRIMFMF,signal,Above upper Bollinger,239,52.7,-5.42
1STPRIMFMF,signal,RSI>70 overbought,176,50.0,-6.97
1STPRIMFMF,bounce,2025-06-23,17.4,25.5,47
1STPRIMFMF,bounce,2025-08-27,19.4,26.4,36
1STPRIMFMF,bounce,2025-11-16,15.8,20.0,27
1STPRIMFMF,bounce,2025-12-02,18.0,22.9,27
1STPRIMFMF,bounce,2026-01-29,17.8,20.7,16
1STPRIMFMF,bounce,2026-03-09,16.7,19.6,17
1STPRIMFMF,bounce,2026-04-05,17.4,21.2,22
1STPRIMFMF,bounce,2026-05-13,18.2,22.9,26
AAMRANET,signal,52w-low breakdown,103,68.0,2.71
AAMRANET,signal,Stretch<-30% vs MA200,106,57.5,2.08
AAMRANET,signal,Above the Stomach,40,55.0,1.69
AAMRANET,signal,RSI>70 overbought,72,59.7,1.43
AAMRANET,signal,Stretch>50% vs MA200,34,70.6,1.27
AAMRANET,signal,Above upper Bollinger,106,61.3,1.25
AAMRANET,signal,Bullish Engulfing,43,51.2,0.96
AAMRANET,signal,Three Outside Down,74,55.4,0.41
AAMRANET,signal,Three Black Crows,56,57.1,0.4
AAMRANET,signal,Below lower Bollinger,103,48.5,0.18
AAMRANET,signal,Bearish Engulfing,126,57.1,0.12
AAMRANET,signal,Evening Star,31,67.7,0.05
AAMRANET,signal,Stochastic>80,209,59.3,-0.16
AAMRANET,signal,MACD bull cross,61,42.6,-0.18
AAMRANET,signal,MACD bear cross,64,60.9,-0.47
AAMRANET,signal,Stochastic<20,595,46.7,-0.5
AAMRANET,signal,RSI<30 oversold,129,40.3,-1.19
AAMRANET,signal,Bullish Harami,97,40.2,-1.26
AAMRANET,signal,Morning Star,54,48.1,-1.26
AAMRANET,signal,52w-high breakout,34,35.3,-1.88
AAMRANET,bounce,2025-06-23,15.6,19.6,26
AAMRANET,bounce,2025-08-13,17.5,23.7,35
AAMRANET,bounce,2025-09-22,19.8,23.7,20
AAMRANET,bounce,2025-10-20,18.6,21.4,15
AAMRANET,bounce,2025-11-16,14.5,18.7,29
AAMRANET,bounce,2026-01-06,15.8,18.2,15
AAMRANET,bounce,2026-02-02,15.5,18.1,17
AAMRANET,bounce,2026-03-09,15.0,18.3,22
AAMRATECH,signal,RSI>70 overbought,96,78.1,4.37
AAMRATECH,signal,Stochastic>80,288,69.1,2.06
AAMRATECH,signal,Above upper Bollinger,208,65.9,1.69
AAMRATECH,signal,Above the Stomach,74,60.8,0.87
AAMRATECH,signal,Inverted Hammer,61,52.5,0.86
AAMRATECH,signal,Evening Star,35,60.0,0.74
AAMRATECH,signal,Double Top,43,58.1,0.63
AAMRATECH,signal,RSI<30 oversold,134,52.2,0.63
AAMRATECH,signal,Three Black Crows,62,56.5,0.24
AAMRATECH,signal,Stochastic<20,879,52.9,0.23
AAMRATECH,signal,Stretch<-30% vs MA200,36,61.1,0.14
AAMRATECH,signal,Bearish Engulfing,239,57.3,-0.18
AAMRATECH,signal,52w-low breakdown,117,51.3,-0.19
AAMRATECH,signal,Below lower Bollinger,159,47.8,-0.2
AAMRATECH,signal,Bearish Harami,50,58.0,-0.24
AAMRATECH,signal,Bullish Harami,171,46.2,-0.5
AAMRATECH,signal,Bearish Marubozu,42,57.1,-0.61
AAMRATECH,signal,MACD bear cross,124,56.5,-0.64
AAMRATECH,signal,Three Outside Down,118,51.7,-1.04
AAMRATECH,signal,Morning Star,79,41.8,-1.18
AAMRATECH,signal,Price reclaims MA200,54,44.4,-1.33
AAMRATECH,signal,MACD bull cross,126,39.7,-1.8
AAMRATECH,signal,Below the Stomach,46,45.7,-2.11
AAMRATECH,signal,Bullish Engulfing,82,36.6,-2.23
AAMRATECH,signal,52w-high breakout,44,36.4,-2.7
AAMRATECH,bounce,2025-11-16,9.5,12.2,28
AAMRATECH,bounce,2025-12-07,10.1,12.0,19
AAMRATECH,bounce,2025-12-18,10.5,12.5,19
AAMRATECH,bounce,2026-01-19,11.0,13.4,22
AAMRATECH,bounce,2026-03-08,11.0,15.9,45
AAMRATECH,bounce,2026-04-06,12.7,14.7,16
AAMRATECH,bounce,2026-05-10,11.7,14.2,21
AAMRATECH,bounce,2026-05-20,12.8,15.8,23
ABB1STMF,signal,Bullish Marubozu,102,43.1,1.06
ABB1STMF,signal,MACD bull cross,89,53.9,0.9
ABB1STMF,signal,Below lower Bollinger,111,55.0,0.37
ABB1STMF,signal,Bearish Marubozu,188,64.4,0.32
ABB1STMF,signal,Three Outside Down,49,65.3,0.23
ABB1STMF,signal,RSI<30 oversold,120,48.3,-0.26
ABB1STMF,signal,52w-low breakdown,44,59.1,-0.29
ABB1STMF,signal,Bearish Engulfing,287,57.8,-0.34
ABB1STMF,signal,Stochastic<20,673,43.7,-0.5
ABB1STMF,signal,Tweezer Bottom,44,40.9,-0.6
ABB1STMF,signal,Stochastic>80,216,59.3,-0.92
ABB1STMF,signal,Price reclaims MA200,32,31.2,-1.09
ABB1STMF,signal,Bullish Harami,239,38.9,-1.31
ABB1STMF,signal,RSI>70 overbought,113,54.9,-1.48
ABB1STMF,signal,Above upper Bollinger,144,55.6,-1.6
ABB1STMF,signal,Bearish Harami,88,44.3,-1.66
ABB1STMF,signal,MACD bear cross,89,48.3,-1.93
ABB1STMF,signal,Double Top,31,48.4,-2.26
ABB1STMF,signal,Morning Star,64,28.1,-2.29
ABB1STMF,bounce,2025-11-16,2.2,3.2,45
ABB1STMF,bounce,2025-12-01,2.6,3.0,15
ABB1STMF,bounce,2026-01-26,2.4,3.3,38
ABB1STMF,bounce,2026-03-08,2.6,3.9,50
ABB1STMF,bounce,2026-03-31,3.3,3.9,18
ABB1STMF,bounce,2026-04-05,3.2,3.7,16
ABB1STMF,bounce,2026-05-06,3.0,3.6,20
ABB1STMF,bounce,2026-06-22,3.1,3.8,23
ABBANK,signal,Stretch<-30% vs MA200,584,57.7,25.98
ABBANK,signal,Stretch>50% vs MA200,325,80.0,24.92
ABBANK,signal,Stochastic<20,1999,55.7,15.2
ABBANK,signal,Below lower Bollinger,304,62.8,14.48
ABBANK,signal,RSI>70 overbought,225,72.4,13.52
ABBANK,signal,Stochastic>80,973,70.2,10.54
ABBANK,signal,Above upper Bollinger,348,67.5,9.61
ABBANK,signal,Tweezer Bottom,74,52.7,6.13
ABBANK,signal,RSI<30 oversold,377,52.0,4.15
ABBANK,signal,Inverted Hammer,111,53.2,2.63
ABBANK,signal,Above the Stomach,175,40.0,1.64
ABBANK,signal,Bullish Engulfing,116,48.3,0.64
ABBANK,signal,Bullish Harami,266,40.2,-0.0
ABBANK,signal,Bearish Engulfing,382,58.9,-0.79
ABBANK,signal,Three Inside Up,47,40.4,-1.39
ABBANK,signal,Three Outside Down,176,58.5,-1.62
ABBANK,signal,Price reclaims MA200,182,42.9,-1.85
ABBANK,signal,Three Outside Up,46,37.0,-2.08
ABBANK,signal,Bearish Marubozu,110,53.6,-2.09
ABBANK,signal,Hanging Man,34,47.1,-2.25
ABBANK,signal,Morning Star,127,41.7,-2.47
ABBANK,signal,Bullish Marubozu,40,22.5,-2.54
ABBANK,signal,Double Bottom,75,36.0,-4.2
ABBANK,signal,52w-low breakdown,131,42.0,-4.65
ABBANK,signal,Shooting Star,55,60.0,-5.59
ABBANK,signal,Bearish Harami,92,57.6,-6.32
ABBANK,signal,MACD bull cross,246,30.9,-6.47
ABBANK,signal,Three Black Crows,95,53.7,-7.49
ABBANK,signal,Tweezer Top,30,53.3,-9.07
ABBANK,signal,Below the Stomach,163,50.3,-11.03
ABBANK,signal,MACD bear cross,243,43.2,-13.34
ABBANK,signal,Double Top,105,42.9,-14.66
ABBANK,signal,Evening Star,81,48.1,-15.62
ABBANK,signal,52w-high breakout,70,12.9,-18.59
ABBANK,bounce,2025-06-22,5.7,7.4,30
ABBANK,bounce,2025-09-24,4.9,6.7,37
ABBANK,bounce,2025-11-16,3.4,5.2,53
ABBANK,bounce,2025-12-30,4.0,4.7,18
ABBANK,bounce,2026-02-05,4.4,7.4,68
ABBANK,bounce,2026-03-01,6.0,7.7,28
ABBANK,bounce,2026-04-07,5.5,6.6,20
ABBANK,bounce,2026-05-19,4.0,5.4,35
ACFL,signal,Three Black Crows,32,65.6,1.96
ACFL,signal,RSI<30 oversold,68,54.4,1.6
ACFL,signal,Stochastic<20,315,54.0,0.55
ACFL,signal,Bullish Engulfing,30,46.7,0.46
ACFL,signal,Stretch<-30% vs MA200,70,50.0,0.36
ACFL,signal,Bearish Engulfing,84,60.7,0.21
ACFL,signal,Morning Star,37,45.9,0.2
ACFL,signal,Below lower Bollinger,81,54.3,0.14
ACFL,signal,MACD bear cross,51,58.8,-0.12
ACFL,signal,Bullish Harami,64,45.3,-0.39
ACFL,signal,Three Outside Down,37,59.5,-0.86
ACFL,signal,52w-low breakdown,40,55.0,-2.35
ACFL,signal,MACD bull cross,47,31.9,-2.74
ACFL,signal,Stochastic>80,149,49.7,-2.97
ACFL,signal,Above upper Bollinger,78,55.1,-3.17
ACFL,signal,RSI>70 overbought,68,41.2,-6.12
ACFL,bounce,2025-06-29,14.5,19.0,31
ACFL,bounce,2025-07-27,17.0,19.8,16
ACFL,bounce,2025-07-30,18.1,21.0,16
ACFL,bounce,2025-08-13,17.5,20.8,19
ACFL,bounce,2025-10-22,16.5,19.5,18
ACFL,bounce,2025-11-10,17.8,20.5,15
ACFL,bounce,2026-03-04,16.6,19.1,15
ACFL,bounce,2026-04-29,17.2,25.2,47
ACI,signal,Stretch>50% vs MA200,294,69.7,13.08
ACI,signal,Below lower Bollinger,276,63.0,10.26
ACI,signal,Stochastic<20,1856,59.2,8.81
ACI,signal,Above upper Bollinger,403,70.2,8.04
ACI,signal,RSI>70 overbought,309,66.7,7.86
ACI,signal,Stretch<-30% vs MA200,293,43.0,7.62
ACI,signal,Inverted Hammer,159,58.5,7.15
ACI,signal,Above the Stomach,178,47.8,4.86
ACI,signal,Stochastic>80,1004,66.3,4.84
ACI,signal,RSI<30 oversold,277,45.1,2.46
ACI,signal,Three Inside Up,38,42.1,1.52
ACI,signal,Morning Star,147,38.8,0.78
ACI,signal,Shooting Star,52,48.1,0.58
ACI,signal,Bullish Harami,245,49.4,0.34
ACI,signal,Price reclaims MA200,193,37.8,0.04
ACI,signal,Bearish Harami,104,51.9,-0.19
ACI,signal,Three White Soldiers,35,54.3,-0.21
ACI,signal,Three Outside Up,62,48.4,-0.92
ACI,signal,Bullish Engulfing,140,47.1,-1.1
ACI,signal,Hanging Man,40,60.0,-1.39
ACI,signal,52w-low breakdown,192,43.8,-1.49
ACI,signal,Evening Star,93,53.8,-1.56
ACI,signal,Double Bottom,72,27.8,-2.04
ACI,signal,Bearish Engulfing,251,55.4,-2.13
ACI,signal,MACD bull cross,263,39.9,-2.37
ACI,signal,Tweezer Bottom,44,31.8,-2.44
ACI,signal,Three Outside Down,129,58.1,-2.47
ACI,signal,Three Black Crows,133,48.1,-2.61
ACI,signal,Below the Stomach,182,44.5,-4.19
ACI,signal,Head & Shoulders,30,36.7,-4.87
ACI,signal,Bearish Marubozu,102,49.0,-6.76
ACI,signal,MACD bear cross,261,44.8,-7.23
ACI,signal,Inverse Head & Shoulders,32,28.1,-8.64
ACI,signal,52w-high breakout,124,30.6,-9.14
ACI,signal,Double Top,87,34.5,-20.31
ACI,bounce,2024-07-25,105.3,121.7,16
ACI,bounce,2024-08-04,104.6,163.5,56
ACI,bounce,2024-10-28,97.4,130.3,34
ACI,bounce,2024-11-18,117.0,174.0,49
ACI,bounce,2025-03-11,160.0,214.3,34
ACI,bounce,2025-05-20,156.2,208.2,33
ACI,bounce,2025-11-03,171.0,216.0,26
ACI,bounce,2026-02-08,194.5,231.0,19
ACIFORMULA,signal,52w-high breakout,44,54.5,3.92
ACIFORMULA,signal,Stretch<-30% vs MA200,172,50.0,3.45
ACIFORMULA,signal,RSI<30 oversold,150,62.0,3.24
ACIFORMULA,signal,Below lower Bollinger,161,60.2,1.59
ACIFORMULA,signal,Tweezer Bottom,34,55.9,1.54
ACIFORMULA,signal,Inverted Hammer,113,46.0,0.7
ACIFORMULA,signal,Stretch>50% vs MA200,65,61.5,0.49
ACIFORMULA,signal,Stochastic<20,1094,48.4,0.36
ACIFORMULA,signal,MACD bull cross,126,43.7,0.21
ACIFORMULA,signal,Evening Star,57,68.4,0.05
ACIFORMULA,signal,Double Bottom,37,32.4,-0.03
ACIFORMULA,signal,Bullish Engulfing,102,37.3,-0.13
ACIFORMULA,signal,Stochastic>80,405,59.5,-0.17
ACIFORMULA,signal,Above upper Bollinger,256,59.0,-0.2
ACIFORMULA,signal,Bullish Harami,196,47.4,-0.22
ACIFORMULA,signal,Bearish Engulfing,209,55.5,-0.25
ACIFORMULA,signal,Three Outside Down,112,54.5,-0.27
ACIFORMULA,signal,MACD bear cross,125,58.4,-0.33
ACIFORMULA,signal,Above the Stomach,80,40.0,-0.44
ACIFORMULA,signal,Double Top,54,50.0,-0.91
ACIFORMULA,signal,Three Outside Up,42,40.5,-1.03
ACIFORMULA,signal,Below the Stomach,57,63.2,-1.15
ACIFORMULA,signal,RSI>70 overbought,170,61.2,-1.16
ACIFORMULA,signal,Three Black Crows,72,52.8,-1.59
ACIFORMULA,signal,Morning Star,70,42.9,-1.84
ACIFORMULA,signal,Price reclaims MA200,83,42.2,-2.01
ACIFORMULA,signal,52w-low breakdown,101,42.6,-2.84
ACIFORMULA,signal,Bearish Harami,62,46.8,-3.05
ACIFORMULA,bounce,2024-08-04,114.6,159.8,39
ACIFORMULA,bounce,2024-10-29,108.0,131.9,22
ACIFORMULA,bounce,2025-01-19,113.3,139.2,23
ACIFORMULA,bounce,2025-05-27,120.1,145.2,21
ACIFORMULA,bounce,2025-07-29,133.2,164.0,23
ACIFORMULA,bounce,2025-11-16,115.0,140.0,22
ACIFORMULA,bounce,2025-12-08,120.3,156.8,30
ACIFORMULA,bounce,2026-03-09,132.2,156.3,18
ACMELAB,signal,Three Black Crows,32,78.1,1.09
ACMELAB,signal,Above the Stomach,31,58.1,1.06
ACMELAB,signal,Three Outside Down,69,60.9,0.78
ACMELAB,signal,RSI>70 overbought,68,64.7,0.7
ACMELAB,signal,Bullish Engulfing,65,52.3,0.45
ACMELAB,signal,Above upper Bollinger,116,62.1,0.28
ACMELAB,signal,Three Outside Up,33,51.5,0.12
ACMELAB,signal,Bearish Engulfing,124,57.3,0.01
ACMELAB,signal,52w-low breakdown,96,57.3,0.01
ACMELAB,signal,Morning Star,48,47.9,-0.15
ACMELAB,signal,Bearish Harami,35,57.1,-0.27
ACMELAB,signal,RSI<30 oversold,133,48.1,-0.31
ACMELAB,signal,Inverted Hammer,42,59.5,-0.33
ACMELAB,signal,Evening Star,34,50.0,-0.41
ACMELAB,signal,Stochastic>80,224,55.4,-0.44
ACMELAB,signal,Stochastic<20,553,48.6,-0.59
ACMELAB,signal,Bullish Harami,108,45.4,-0.63
ACMELAB,signal,MACD bull cross,68,41.2,-0.74
ACMELAB,signal,Price reclaims MA200,40,35.0,-0.89
ACMELAB,signal,MACD bear cross,63,42.9,-1.34
ACMELAB,signal,Below lower Bollinger,110,40.9,-1.39
ACMELAB,bounce,2022-04-13,83.9,97.4,16
ACMELAB,bounce,2022-08-11,85.0,102.0,20
ACMELAB,bounce,2022-09-15,91.2,107.4,18
ACMELAB,bounce,2024-06-10,62.6,74.8,19
ACMELAB,bounce,2024-08-04,67.6,94.0,39
ACMELAB,bounce,2024-08-22,79.1,94.5,19
ACMELAB,bounce,2025-05-15,67.9,85.9,27
ACMELAB,bounce,2025-12-21,68.6,83.6,22
ACMEPL,signal,RSI<30 oversold,40,65.0,4.64
ACMEPL,signal,Bearish Engulfing,39,69.2,0.95
ACMEPL,signal,Stochastic<20,163,47.9,0.41
ACMEPL,signal,52w-low breakdown,37,56.8,-0.75
ACMEPL,signal,Stretch<-30% vs MA200,141,39.0,-1.58
ACMEPL,signal,Stochastic>80,75,56.0,-1.7
ACMEPL,signal,RSI>70 overbought,33,48.5,-4.53
ACMEPL,signal,Above upper Bollinger,44,45.5,-4.65
ACMEPL,bounce,2025-08-07,14.1,17.3,23
ACMEPL,bounce,2025-08-27,15.7,18.3,17
ACMEPL,bounce,2025-10-16,13.9,16.7,20
ACMEPL,bounce,2025-11-16,12.5,18.3,46
ACMEPL,bounce,2026-01-28,15.1,18.0,19
ACMEPL,bounce,2026-03-01,15.6,22.1,42
ACMEPL,bounce,2026-04-05,19.9,27.8,40
ACMEPL,bounce,2026-05-19,23.1,26.6,15
ACTIVEFINE,signal,Stretch>50% vs MA200,35,91.4,8.17
ACTIVEFINE,signal,Double Bottom,45,57.8,2.49
ACTIVEFINE,signal,Below lower Bollinger,170,54.7,1.72
ACTIVEFINE,signal,RSI<30 oversold,173,59.0,1.7
ACTIVEFINE,signal,Stretch<-30% vs MA200,174,55.7,1.65
ACTIVEFINE,signal,MACD bull cross,114,48.2,0.99
ACTIVEFINE,signal,Bearish Marubozu,35,51.4,0.84
ACTIVEFINE,signal,Three Outside Down,137,62.8,0.77
ACTIVEFINE,signal,Bullish Engulfing,73,56.2,0.45
ACTIVEFINE,signal,Bearish Engulfing,253,63.6,0.28
ACTIVEFINE,signal,Double Top,47,61.7,0.13
ACTIVEFINE,signal,RSI>70 overbought,145,60.7,-0.01
ACTIVEFINE,signal,Inverted Hammer,45,40.0,-0.15
ACTIVEFINE,signal,Three Black Crows,90,60.0,-0.56
ACTIVEFINE,signal,Three Inside Up,31,41.9,-0.64
ACTIVEFINE,signal,Stochastic<20,948,43.4,-0.69
ACTIVEFINE,signal,Bullish Harami,199,38.7,-0.79
ACTIVEFINE,signal,Stochastic>80,366,51.6,-1.07
ACTIVEFINE,signal,52w-low breakdown,111,45.9,-1.23
ACTIVEFINE,signal,Above upper Bollinger,188,56.4,-1.24
ACTIVEFINE,signal,Morning Star,82,36.6,-1.37
ACTIVEFINE,signal,MACD bear cross,114,52.6,-1.58
ACTIVEFINE,signal,Above the Stomach,67,40.3,-1.65
ACTIVEFINE,signal,Tweezer Bottom,32,37.5,-1.74
ACTIVEFINE,signal,Evening Star,38,50.0,-1.91
ACTIVEFINE,signal,Below the Stomach,31,48.4,-2.15
ACTIVEFINE,signal,Three Outside Up,30,33.3,-2.33
ACTIVEFINE,signal,52w-high breakout,53,35.8,-2.44
ACTIVEFINE,signal,Price reclaims MA200,42,28.6,-3.0
ACTIVEFINE,bounce,2025-05-07,7.8,9.2,18
ACTIVEFINE,bounce,2025-06-24,7.9,9.6,22
ACTIVEFINE,bounce,2025-08-03,8.5,10.3,21
ACTIVEFINE,bounce,2025-11-16,4.7,6.8,45
ACTIVEFINE,bounce,2025-11-23,6.1,7.3,20
ACTIVEFINE,bounce,2026-01-12,5.4,7.6,41
ACTIVEFINE,bounce,2026-03-09,6.3,8.1,29
ACTIVEFINE,bounce,2026-06-02,6.5,7.6,17
ADNTEL,signal,Stretch>50% vs MA200,58,75.9,3.88
ADNTEL,signal,RSI<30 oversold,54,61.1,3.42
ADNTEL,signal,Bullish Engulfing,49,53.1,1.99
ADNTEL,signal,MACD bull cross,52,50.0,1.87
ADNTEL,signal,Bullish Harami,63,52.4,0.96
ADNTEL,signal,Stochastic<20,305,47.9,-0.02
ADNTEL,signal,Bearish Engulfing,79,55.7,-0.47
ADNTEL,signal,Three Black Crows,30,53.3,-0.53
ADNTEL,signal,RSI>70 overbought,77,53.2,-0.92
ADNTEL,signal,Above upper Bollinger,99,52.5,-1.38
ADNTEL,signal,Below lower Bollinger,57,45.6,-1.58
ADNTEL,signal,Three Outside Down,46,45.7,-2.01
ADNTEL,signal,Stochastic>80,167,53.3,-2.38
ADNTEL,signal,Above the Stomach,30,36.7,-2.43
ADNTEL,signal,MACD bear cross,51,47.1,-2.98
ADNTEL,bounce,2024-12-15,77.8,115.1,48
ADNTEL,bounce,2025-05-19,60.4,75.4,25
ADNTEL,bounce,2025-06-29,69.0,80.4,17
ADNTEL,bounce,2025-08-12,72.4,89.0,23
ADNTEL,bounce,2025-11-16,50.4,64.1,27
ADNTEL,bounce,2026-01-14,55.3,67.7,22
ADNTEL,bounce,2026-03-08,53.9,63.9,19
ADNTEL,bounce,2026-04-29,58.0,71.0,22
ADVENT,signal,RSI<30 oversold,60,66.7,3.49
ADVENT,signal,RSI>70 overbought,61,59.0,1.56
ADVENT,signal,Morning Star,34,47.1,1.12
ADVENT,signal,Stochastic<20,480,55.2,1.1
ADVENT,signal,Below lower Bollinger,106,54.7,0.85
ADVENT,signal,MACD bear cross,51,54.9,0.15
ADVENT,signal,Price reclaims MA200,53,41.5,0.1
ADVENT,signal,Bullish Engulfing,47,42.6,0.06
ADVENT,signal,Bullish Harami,98,48.0,0.0
ADVENT,signal,Stretch<-30% vs MA200,48,58.3,-0.06
ADVENT,signal,Above upper Bollinger,101,55.4,-0.07
ADVENT,signal,Three Outside Down,85,50.6,-0.07
ADVENT,signal,Stochastic>80,170,58.2,-0.15
ADVENT,signal,Bearish Engulfing,153,56.9,-0.36
ADVENT,signal,MACD bull cross,56,32.1,-1.09
ADVENT,signal,Three Black Crows,31,48.4,-2.79
ADVENT,signal,Bearish Marubozu,32,43.8,-2.94
ADVENT,signal,52w-low breakdown,37,29.7,-3.12
ADVENT,bounce,2025-04-27,12.7,15.7,24
ADVENT,bounce,2025-05-28,12.8,16.8,31
ADVENT,bounce,2025-08-24,14.0,17.2,23
ADVENT,bounce,2025-09-22,14.5,16.9,17
ADVENT,bounce,2025-11-16,11.5,13.9,21
ADVENT,bounce,2025-11-23,12.6,14.5,15
ADVENT,bounce,2025-12-21,12.7,15.0,18
ADVENT,bounce,2026-03-08,12.8,15.0,17
AFCAGRO,signal,RSI<30 oversold,130,72.3,3.31
AFCAGRO,signal,Below lower Bollinger,140,62.1,1.89
AFCAGRO,signal,RSI>70 overbought,88,71.6,0.73
AFCAGRO,signal,Inverted Hammer,42,54.8,0.53
AFCAGRO,signal,Bearish Marubozu,45,60.0,0.4
AFCAGRO,signal,Bullish Engulfing,53,45.3,0.26
AFCAGRO,signal,Stretch<-30% vs MA200,177,52.5,0.23
AFCAGRO,signal,Above upper Bollinger,129,65.9,0.18
AFCAGRO,signal,Bearish Engulfing,164,56.1,0.16
AFCAGRO,signal,Stretch>50% vs MA200,52,51.9,0.13
AFCAGRO,signal,Double Top,42,47.6,-0.03
AFCAGRO,signal,Three Outside Down,99,54.5,-0.1
AFCAGRO,signal,Stochastic<20,661,48.6,-0.48
AFCAGRO,signal,MACD bull cross,89,43.8,-0.52
AFCAGRO,signal,MACD bear cross,89,55.1,-0.66
AFCAGRO,signal,Price reclaims MA200,30,36.7,-0.81
AFCAGRO,signal,Bullish Harami,140,47.9,-0.93
AFCAGRO,signal,Stochastic>80,250,60.0,-1.12
AFCAGRO,signal,Three Black Crows,52,50.0,-1.41
AFCAGRO,signal,Morning Star,46,39.1,-1.74
AFCAGRO,signal,Above the Stomach,49,32.7,-1.87
AFCAGRO,signal,Double Bottom,38,42.1,-2.33
AFCAGRO,signal,52w-low breakdown,95,35.8,-2.59
AFCAGRO,bounce,2025-11-16,4.1,5.8,41
AFCAGRO,bounce,2025-12-08,4.8,6.1,27
AFCAGRO,bounce,2025-12-18,4.6,5.5,20
AFCAGRO,bounce,2025-12-29,4.9,5.7,16
AFCAGRO,bounce,2026-01-14,4.7,7.5,60
AFCAGRO,bounce,2026-02-19,6.5,7.5,15
AFCAGRO,bounce,2026-03-09,6.3,8.2,30
AFCAGRO,bounce,2026-05-24,6.8,8.2,21
AFTABAUTO,signal,Below lower Bollinger,314,65.0,19.0
AFTABAUTO,signal,Stretch<-30% vs MA200,363,71.3,14.81
AFTABAUTO,signal,Stretch>50% vs MA200,248,69.8,11.63
AFTABAUTO,signal,Stochastic<20,1995,58.5,9.34
AFTABAUTO,signal,Tweezer Bottom,44,43.2,8.35
AFTABAUTO,signal,Above upper Bollinger,384,69.5,7.44
AFTABAUTO,signal,Stochastic>80,962,68.5,6.41
AFTABAUTO,signal,Bullish Engulfing,117,51.3,5.19
AFTABAUTO,signal,RSI>70 overbought,253,61.7,4.98
